id_service,case_ump
5270.2769789,3
5270.2770104,3
5270.2770034,3
5270.2769821,3
5270.2770043,3
5270.2769959,3
5270.2769826,3
5270.2770164,3
5270.2770219,3
5270.2770249,3
5270.2770024,3
5270.2769988,3
5270.2769981,3
5270.2770012,3
5270.2770082,3
5270.2769888,3
5270.2770209,3
5270.2769796,3
5270.2770159,3
5270.2769931,3
5270.2769936,3
5270.2769838,3
5270.2769771,3
5270.2769932,3
5270.2770165,3
5270.2770224,3
5270.2770008,3
5270.2769935,3
5270.2769929,3
5270.2770225,3
5270.2770143,3
5270.2769783,3
5270.2770181,3
5270.2770195,3
5270.2769806,3
5270.2769855,3
5270.2770250,3
5270.2770156,3
5270.2770054,3
5270.2769933,3
5270.2769766,3
5270.2769802,3
5270.2769927,3
5270.2769987,3
5270.2770253,3
5270.2770246,3
5270.2769762,3
5270.2770203,3
5270.2770120,3
5270.2769829,3
5270.2769958,3
5270.2770065,3
5270.2769859,3
5270.2769824,3
5270.2770171,3
5270.2769807,3
5270.2769891,3
5270.2770010,3
5270.2770061,3
5270.2770089,3
5270.2770073,3
5270.2769886,3
5270.2770094,3
5270.2770105,3
5270.2770233,3
5270.2770154,3
5270.2770123,3
5270.2770075,3
5270.2769834,3
5270.2770085,3
5270.2770125,3
5270.2769955,3
5270.2770004,3
5270.2770160,3
5270.2769906,3
5270.2769960,3
5270.2770201,3
5270.2769780,3
5270.2769756,3
5270.2769867,3
5270.2770079,3
5270.2770176,3
5270.2769919,3
5270.2769923,3
5270.2769761,3
5270.2770062,3
5270.2770172,3
5270.2769839,3
5270.2770063,3
5270.2769992,3
5270.2769852,3
5270.2769779,3
5270.2769785,3
5270.2770221,3
5270.2769990,3
5270.2769922,3
5270.2769871,3
5270.2770015,3
5270.2769930,3
5270.2769954,3
5270.2770122,3
5270.2769968,3
5270.2770213,3
5270.2769921,3
5270.2769902,3
5270.2769770,3
5270.2769827,3
5270.2769854,3
5270.2770232,3
5270.2770114,3
5270.2770130,3
5270.2770163,3
5270.2769941,3
5270.2770086,3
5270.2769748,3
5270.2770072,3
5270.2770059,3
5270.2770149,3
5270.2769947,3
5270.2769782,3
5270.2770033,3
5270.2770162,3
5270.2770057,3
5270.2770112,3
5270.2769973,3
5270.2770119,3
5270.2770254,3
5270.2769950,3
5270.2769765,3
5270.2769850,3
5270.2769996,3
5270.2769984,3
5270.2770103,3
5270.2769847,3
5270.2770049,3
5270.2769999,3
5270.2769963,3
5270.2770025,3
5270.2770045,3
5270.2769790,3
5270.2770205,3
5270.2770080,3
5270.2770011,3
5270.2770081,3
5270.2770029,3
5270.2770161,3
5270.2769788,3
5270.2770113,3
5270.2769823,3
5270.2770048,3
5270.2770230,3
5270.2770185,3
5270.2769899,3
5270.2769940,3
5270.2770039,3
5270.2770096,3
5270.2769763,3
5270.2769743,3
5270.2769915,3
5270.2769895,3
5270.2769793,3
5270.2770180,3
5270.2769914,3
5270.2769857,3
5270.2769858,3
5270.2769772,3
5270.2769740,3
5270.2769741,3
5270.2770018,3
5270.2769877,3
5270.2770040,3
5270.2770241,3
5270.2769881,3
5270.2770090,3
5270.2770092,3
5270.2770252,3
5270.2769980,3
5270.2770014,3
5270.2769853,3
5270.2769986,3
5270.2770021,3
5270.2770244,3
5270.2769775,3
5270.2769797,3
5270.2769860,3
5270.2769862,3
5270.2770234,3
5270.2770093,3
5270.2770135,3
5270.2770212,3
5270.2769794,3
5270.2770071,3
5270.2769744,3
5270.2769804,3
5270.2770222,3
5270.2770046,3
5270.2770245,3
5270.2769885,3
5270.2769746,3
5270.2769971,3
5270.2769845,3
5270.2770003,3
5270.2769903,3
5270.2770169,3
5270.2769846,3
5270.2769874,3
5270.2770115,3
5270.2769894,3
5270.2770056,3
5270.2770184,3
5270.2770077,3
5270.2769912,3
5270.2769738,3
5270.2769745,3
5270.2770259,3
5270.2770182,3
5410.5319943,3
5410.5319949,3
5410.5319944,3
5410.5319958,3
5410.5320086,3
5410.5320019,3
5410.5320074,3
5410.5320136,3
5410.5320028,3
5410.5320116,3
5410.5320085,3
3590.2275011,3
5270.2770216,3
5270.2770217,3
5270.2770167,3
5270.2770097,3
5270.2770147,3
5270.2770098,3
5270.2770237,3
5270.2770178,3
5270.2770128,3
5270.2770148,3
5270.2770116,3
5270.2770107,3
5270.2770127,3
5270.2770247,3
5270.2770218,3
5270.2770248,3
5270.2770228,3
5270.2770197,3
5270.2770208,3
5270.2770087,3
5270.2770168,3
5270.2770118,3
5270.2769747,3
5270.2770227,3
5270.2770258,3
5270.2770280,3
5270.2770288,3
5270.2770277,3
5270.2770281,3
5270.2770282,3
5270.2770272,3
5270.2770275,3
5270.2770269,3
5270.2770274,3
5270.2768441,3
5270.2764970,3
5270.2770268,3
5270.2770267,3
5270.2764286,3
5270.2770260,3
5640.3526567,3
5640.3526550,3
5640.3526586,3
5640.3526534,3
5640.3526555,3
5640.3526563,3
5640.3526566,3
5640.3526577,3
5640.3526528,3
5640.3526569,3
5640.3526562,3
5640.3526581,3
5640.3526543,3
5640.3526544,3
5640.3526535,3
5640.3526537,3
5640.3526572,3
5640.3526570,3
5640.3526565,3
5640.3526548,3
5640.3526540,3
5640.3526576,3
5640.3526551,3
5640.3526589,3
5640.3526549,3
5640.3526588,3
5640.3526561,3
5640.3526539,3
5640.3526556,3
5640.3526571,3
5640.3526587,3
5640.3526558,3
5640.3526536,3
5640.3526568,3
5640.3526580,3
5640.3526582,3
5640.3526450,3
5640.3526445,3
5640.3526443,3
5640.3526449,3
5640.3526513,3
5640.3526505,3
5640.3526478,3
5640.3526469,3
5640.3526463,3
5640.3526500,3
5640.3526473,3
5640.3526434,3
5640.3526479,3
5640.3526495,3
5640.3526471,3
5640.3526474,3
5640.3526490,3
5640.3526482,3
5640.3526511,3
5640.3526494,3
5640.3526468,3
5640.3526485,3
5640.3526466,3
5640.3526433,3
